,time,instanceCode,durationMS,requete,nbLignes
111397,2021-01-30 20:07:16.174000010,CLDMGB2B,7284.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111398,2021-01-30 20:08:07.981000013,CLDMGB2B,5965.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111399,2021-01-30 20:23:46.792000028,CLDMGB2B,8743.0,select distinct mng_batch.noinstance from mng_batchmesure inner join mng_batch on mng_batchmesure.nobatch=mng_batch.ik where mng_batchmesure.datfin>?,932.0
111400,2021-01-30 20:37:12.542000019,CLDMGB2B,5671.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111401,2021-01-30 20:52:37.411000007,CLDMGB2B,5434.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111402,2021-01-30 21:01:01.931000008,CLDMGB2B,10810.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111403,2021-01-30 21:01:17.528000032,CLDMGB2B,8584.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111404,2021-01-30 21:07:24.218000001,CLDMGB2B,9912.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111405,2021-01-30 21:08:12.767000035,CLDMGB2B,9768.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111406,2021-01-30 21:08:19.892000002,CLDMGB2B,7122.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111407,2021-01-30 21:22:09.445000016,CLDMGB2B,8989.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111408,2021-01-30 21:23:49.893000039,CLDMGB2B,11846.0,select distinct mng_batch.noinstance from mng_batchmesure inner join mng_batch on mng_batchmesure.nobatch=mng_batch.ik where mng_batchmesure.datfin>?,932.0
111409,2021-01-30 21:38:02.919000000,CLDMGB2B,9908.0,select a.datedebut from fr.infologic.manager.modele.winevent as a where a.utilisateur.ik = :p1 and a.statut = :p2 and a.datedebut >= :p3 order by a.datedebut,1.0
111410,2021-01-30 22:01:07.043000004,CLDMGB2B,12850.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111411,2021-01-30 22:01:24.733000025,CLDMGB2B,9960.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
111412,2021-01-30 22:08:08.055000004,CLDMGB2B,5555.0,select a.remdatcre from fr.infologic.manager.modele.traceaudit as a where a.instance.ik = :p1 and a.remdatcre is not null and a.dossierinfo.dosres = :p2 order by a.remdatcre desc,1.0
