,time,instanceCode,durationMS,requete,nbLignes
141791,2021-01-31 23:22:29.608000141,OZASGBNI,6235.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672148) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141792,2021-01-31 23:22:35.892000142,OZASGBNI,6195.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141793,2021-01-31 23:22:41.982000143,OZASGBNI,6051.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672191) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141794,2021-01-31 23:22:50.399000144,OZASGBNI,7190.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",9.0
141795,2021-01-31 23:22:56.724000145,OZASGBNI,6283.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672186) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141796,2021-01-31 23:23:05.795000146,OZASGBNI,7294.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",198.0
141797,2021-01-31 23:23:11.977000147,OZASGBNI,6111.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_8810365197) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141798,2021-01-31 23:23:21.193000148,OZASGBNI,7281.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",217.0
141799,2021-01-31 23:23:27.299000149,OZASGBNI,6059.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672187) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141800,2021-01-31 23:23:35.996000150,OZASGBNI,7134.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",132.0
