,day,hour,query,nrows,length,time,serverName,declination,codeVersion,softwareVersion,dbVersion,jdbcMax,jdbcMin,dbMemory,sgaMax,nbCPU,dbCursorsMax,dbProcessMax,nbUsers,anomalyASH,manyActiveSessions,blockedSessions,poolAlmostFull,application,commit,concurrence,configuration,cpu,network,autre,systemI/O,userI/O,administrative,schuduler,queueing,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.prod.ref.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.prod.typuraz,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.flagfictif,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteuelemappro,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.flagattente,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.largeur,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.chrono,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteus4,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.volume,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.flagfictif,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.temps,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.prod.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteusousembal,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteusurembal,SELECT_*,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteuraz,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.prod.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.flagsurplus,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.prod.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.poidstheo,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.soc.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.surface,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieutransfert.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.poidsbrut,SELECT_fr.infologic.stocks.cumuls.modele.invprodlotcumul.dattheo,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.code,SELECT_fr.infologic.stocks.cumuls.modele.modifprixlot.datrazprix,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttfrais5,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteus2,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.originemvt,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lot.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttfrais3,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.refexterne,SELECT_fr.infologic.stocks.fichierbase.modele.produit,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.container.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttfrais4,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.code,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.datprep,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteus1,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.longueur,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.ref8,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.ref2,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.flagfictif,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.signe,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lot.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lot.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.poidsnet,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.utilisateur,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.volumecontenu,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitessaisie.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttfrais1,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteubase,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.typrefexterne,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.hauteur,SELECT_fr.infologic.global.outils.modele.tabletemp.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteulogissuppl1,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttnet,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteus5,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteulogissuppl2,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttfrais2,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.auditinfo.datcre,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.datprepsaisie,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteus3,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.messagerecu.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.mttrist,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.auditinfo.datmod,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.qteuelem,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.auditinfo.etat,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.empla.auditinfo.datcre,SELECT_fr.infologic.global.commun.modele.dossier.soc.ik,SELECT_fr.infologic.stocks.gestion.modele.mvtrealise.sens,FROM_fr.infologic.global.commun.modele.dossier,FROM_fr.infologic.stocks.gestion.modele.mvtrealise,FROM_fr.infologic.stocks.cumuls.modele.modifprixlot,FROM_fr.infologic.stocks.cumuls.modele.invprodlotcumul,FROM_fr.infologic.stocks.fichierbase.modele.produit,FROM_fr.infologic.global.outils.modele.tabletemp,JOIN_fr.infologic.stocks.fichierbase.modele.produit.famzvval,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.flagfictif,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.chrono,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.niveaumvt,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref4,WHERE_fr.infologic.stocks.cumuls.modele.invprodlotcumul.refliste,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref7,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.empla,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.ref.auditinfo.etat,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.flagfictif,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.datfab,WHERE_fr.infologic.stocks.cumuls.modele.modifprixlot.lot.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.auditinfo.datmod,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.coderech,WHERE_fr.infologic.stocks.cumuls.modele.invprodlotcumul.prod,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.code,WHERE_fr.infologic.stocks.fichierbase.modele.produit.famzvval.famzvval,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.flagtransfert,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.flagaepurer,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.soc.ik,WHERE_fr.infologic.stocks.cumuls.modele.invprodlotcumul.dattheo,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.code,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot,WHERE_fr.infologic.global.commun.modele.dossier.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.originemvt,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.refexterne,WHERE_fr.infologic.stocks.cumuls.modele.modifprixlot.lieu.ik,WHERE_fr.infologic.stocks.cumuls.modele.invprodlotcumul.dossierinfo.dosres,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.container.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.code,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.code,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.datprep,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.suivistockpossible,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieutransfert,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref9,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref8,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref2,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.naturemvt,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.signe,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.etatsynchro,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.container.archive,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.utilisateur,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.flagannule,WHERE_fr.infologic.stocks.cumuls.modele.modifprixlot.nivprix,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.empla.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref1,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.typblocage,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.typblocage,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.datdls,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typrefexterne,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref10,WHERE_fr.infologic.stocks.cumuls.modele.modifprixlot.societe.ik,WHERE_fr.infologic.global.outils.modele.tabletemp.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref14,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.codeexterne,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.refdouane.prodaccise,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.prod.libstd,WHERE_fr.infologic.stocks.cumuls.modele.modifprixlot.site.ik,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref13,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.datprepsaisie,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.societe.ik,WHERE_fr.infologic.stocks.fichierbase.modele.produit.dossierinfo.dosres,WHERE_fr.infologic.stocks.cumuls.modele.invprodlotcumul.lieu,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.ref3,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.dossierinfo.dosres,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.datannule,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.typblocage,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.soc,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.empla.auditinfo.etat,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.sens,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.auditinfo.datcre,WHERE_fr.infologic.stocks.gestion.modele.mvtrealise.lot.datdlc,HAVING_fr.infologic.stocks.gestion.modele.mvtrealise.qteuraz,HAVING_p5,HAVING_p3,HAVING_fr.infologic.stocks.gestion.modele.mvtrealise.datprepsaisie,HAVING_p7,HAVING_p6,HAVING_p4,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.ik,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.chrono,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.lot.ik,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.datprepsaisie,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.empla.ik,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.ik,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.datprep,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.auditinfo.datcre,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.prod,ORDERBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.refexterne,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.prod.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.typrefexterne,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitlogis.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.ref8,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.soc.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped.container.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lot,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.unitexped,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.empla,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.prod,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.typmvt.originemvt,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lot.ik,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.lieu.site.soc,GROUPBY_fr.infologic.stocks.gestion.modele.mvtrealise.datprepsaisie
48820,Friday,14,"select fr.infologic.stocks.utils.persistence.scalars.scalarqtemttmvt ( a.prod.ik, a.lot.ik, a.datprepsaisie, a.datprep, a.qteubase, a.qteuelem, a.poidsnet, a.poidsbrut, a.poidstheo, a.longueur, a.largeur, a.hauteur, a.surface, a.volume, a.volumecontenu, a.temps, a.qteusousembal, a.qteuelemappro, a.qteusurembal, a.qteulogissuppl1, a.qteulogissuppl2, a.mttnet, a.mttrist, a.mttfrais1, a.mttfrais2, a.mttfrais3, a.mttfrais4, a.mttfrais5 ) from fr.infologic.stocks.gestion.modele.mvtrealise as a where ( a.prod.ik in ( collection0_ ) ) and ( a.lieu.ik in ( collection1_ ) ) and (a.chrono, a.lieu.ik, a.prod.ik, a.lot.ik) in (select max(filterindermvtacfab.chrono), filterindermvtacfab.lieu.ik, filterindermvtacfab.prod.ik, filterindermvtacfab.lot.ik from fr.infologic.stocks.gestion.modele.mvtrealise as filterindermvtacfab where 1 = 1 and filterindermvtacfab.dossierinfo.dosres = p1 and filterindermvtacfab.flagannule = p2 and filterindermvtacfab.signe = p3 and filterindermvtacfab.sens = p4 and 1 = 1 group by filterindermvtacfab.lieu.ik, filterindermvtacfab.prod.ik, filterindermvtacfab.lot.ik ) and a.dossierinfo.dosres = p5",4560.0,1126,13178.0,JVXTGBAA,Ventes,V11_2,V11_2.d47977.31/07/2018 20:51,12.2.0.1.0,200.0,,33658998784.0,6291456000.0,16.0,2000.0,1280.0,20.0,None,None,None,None,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
48821,Friday,14,"select fr.infologic.stocks.utils.persistence.scalars.deuxiksdate ( a.lot.ik, a.unitlogis.ik, min ( a.datprepsaisie ) ) from fr.infologic.stocks.gestion.modele.mvtrealise as a where a.flagannule = p1 and a.signe = p2 and ( a.prod.ik in ( collection0_ ) ) and ( a.lieu.ik in ( collection1_ ) ) and a.dossierinfo.dosres = p3 group by a.lot.ik,a.unitlogis.ik",1706.0,354,7445.0,JVXTGBAA,Ventes,V11_2,V11_2.d47977.31/07/2018 20:51,12.2.0.1.0,200.0,,33658998784.0,6291456000.0,16.0,2000.0,1280.0,20.0,None,None,None,None,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48822,Tuesday,15,"select fr.infologic.stocks.utils.persistence.scalars.deuxiksdate ( a.lieu.ik, a.prod.ik, max ( a.datprepsaisie ) ) from fr.infologic.stocks.gestion.modele.mvtrealise as a where ( a.lieu.ik in ( collection0_ ) ) and a.flagannule = p1 and ( a.prod.ik in ( collection1_ ) or a.prod.ik in ( collection2_ ) ) group by a.lieu.ik,a.prod.ik",215.0,332,17082.0,JVXTGBAA,Ventes,V11_2,V11_2.d47977.31/07/2018 20:51,12.2.0.1.0,200.0,,33658998784.0,6291456000.0,16.0,2000.0,1280.0,20.0,None,None,None,None,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
